:16:08
T:29.8°C -- T2:28.5°C -- HR:73.1 08/09/2021 10:09:20
T:29.9°C -- T2:28.9°C -- HR:70.9 08/09/2021 10:09:41
T:29.9°C -- T2:28.8°C -- HR:72.0 08/09/2021 10:10:02
T:29.7°C -- T2:28.7°C -- HR:72.6 08/09/2021 10:10:23
T:29.9°C -- T2:28.9°C -- HR:71.1 08/09/2021 10:10:44
T:29.8°C -- T2:28.6°C -- HR:73.5 08/09/2021 10:11:05
T:29.7°C -- T2:28.6°C -- HR:73.3 08/09/2021 10:11:26
T:29.9°C -- T2:28.9°C -- HR:70.8 08/09/2021 10:11:47
T:29.9°C -- T2:28.8°C -- HR:72.2 08/09/2021 10:12:08
T:29.7°C -- T2:28.7°C -- HR:72.9 08/09/2021 10:12:29
T:29.9°C -- T2:28.9°C -- HR:70.7 08/09/2021 10:12:50
T:29.9°C -- T2:28.7°C -- HR:73.1 08/09/2021 10:13:11
T:29.8°C -- T2:28.6°C -- HR:73.7 08/09/2021 10:13:32
T:30.0°C -- T2:29.0°C -- HR:71.2 08/09/2021 10:13:53
T:30.0°C -- T2:28.9°C -- HR:71.6 08/09/2021 10:14:14
T:29.8°C -- T2:28.6°C -- HR:73.1 08/09/2021 10:14:35
T:29.9°C -- T2:28.9°C -- HR:70.8 08/09/2021 10:14:56
T:30.0°C -- T2:28.7°C -- HR:72.0 08/09/2021 10:15:17
T:29.9°C -- T2:28.6°C -- HR:72.9 08/09/2021 10:15:38
T:30.0°C -- T2:29.0°C -- HR:70.8 08/09/2021 10:15:59
T:29.8°C -- T2:28.7°C -- HR:73.1 08/09/2021 10:16:20
T:29.7°C -- T2:28.6°C -- HR:73.2 08/09/2021 10:16:41
T:30.0°C -- T2:29.0°C -- HR:70.7 08/09/2021 10:17:02
T:29.8°C -- T2:28.8°C -- HR:72.5 08/09/2021 10:17:23
T:29.7°C -- T2:28.7°C -- HR:73.4 08/09/2021 10:17:44
T:29.9°C -- T2:28.9°C -- HR:70.8 08/09/2021 10:18:05
T:29.9°C -- T2:28.7°C -- HR:72.0 08/09/2021 10:18:26
T:29.8°C -- T2:28.6°C -- HR:72.7 08/09/2021 10:18:47
T:29.9°C -- T2:28.9°C -- HR:70.7 08/09/2021 10:19:08
