T:29.7°C -- T2:29.7°C -- HR:32.1 17/09/2021 10:52:03
T:29.8°C -- T2:29.8°C -- HR:31.9 17/09/2021 10:52:08
T:29.9°C -- T2:29.9°C -- HR:31.8 17/09/2021 10:52:13
T:30.0°C -- T2:29.9°C -- HR:31.7 17/09/2021 10:52:18
T:30.0°C -- T2:30.0°C -- HR:31.6 17/09/2021 10:52:23
T:30.1°C -- T2:30.1°C -- HR:31.5 17/09/2021 10:52:28
T:30.3°C -- T2:30.1°C -- HR:31.2 17/09/2021 10:52:33
T:30.4°C -- T2:30.2°C -- HR:31.2 17/09/2021 10:52:38
T:30.5°C -- T2:30.2°C -- HR:31.2 17/09/2021 10:52:43
T:30.6°C -- T2:30.2°C -- HR:31.3 17/09/2021 10:52:48
T:30.8°C -- T2:30.3°C -- HR:31.2 17/09/2021 10:52:53
T:30.8°C -- T2:30.4°C -- HR:31.1 17/09/2021 10:52:57
T:30.9°C -- T2:30.5°C -- HR:30.8 17/09/2021 10:53:03
T:30.9°C -- T2:30.6°C -- HR:30.6 17/09/2021 10:53:08
T:30.9°C -- T2:30.7°C -- HR:30.5 17/09/2021 10:53:13
T:31.0°C -- T2:30.8°C -- HR:30.9 17/09/2021 10:53:18
T:31.0°C -- T2:30.9°C -- HR:30.7 17/09/2021 10:53:23
T:31.0°C -- T2:31.0°C -- HR:30.3 17/09/2021 10:53:28
T:31.1°C -- T2:31.1°C -- HR:30.1 17/09/2021 10:53:33
T:31.1°C -- T2:31.1°C -- HR:30.1 17/09/2021 10:53:38
T:31.2°C -- T2:31.2°C -- HR:30.1 17/09/2021 10:53:43
T:31.3°C -- T2:31.3°C -- HR:29.6 17/09/2021 10:53:48
T:31.4°C -- T2:31.3°C -- HR:29.6 17/09/2021 10:53:53
T:31.4°C -- T2:31.4°C -- HR:29.7 17/09/2021 10:53:58
T:31.5°C -- T2:31.5°C -- HR:29.5 17/09/2021 10:54:03
T:31.6°C -- T2:31.6°C -- HR:29.4 17/09/2021 10:54:08
T:31.6°C -- T2:31.6°C -- HR:29.5 17/09/2021 10:54:13
T:31.7°C -- T2:31.7°C -- HR:29.5 17/09/2021 10:54:18
T:31.8°C -- T2:31.8°C -- HR:29.6 17/09/2021 10:54:23
T:31.9°C -- T2:31.9°C -- HR:29.3 17/09/2021 10:54:28
T:32.0°C -- T2:32.0°C -- HR:29.2 17/09/2021 10:54:33
T:32.0°C -- T2:32.0°C -- HR:29.0 17/09/2021 10:54:38
T:32.1°C -- T2:32.1°C -- HR:28.7 17/09/2021 10:54:43
T:32.2°C -- T2:32.2°C -- HR:28.8 17/09/2021 10:54:47
T:32.3°C -- T2:32.2°C -- HR:28.9 17/09/2021 10:54:53
T:32.3°C -- T2:32.3°C -- HR:28.6 17/09/2021 10:54:58
T:32.4°C -- T2:32.4°C -- HR:28.3 17/09/2021 10:55:03
T:32.5°C -- T2:32.4°C -- HR:28.3 17/09/2021 10:55:08
T:32.5°C -- T2:32.5°C -- HR:28.1 17/09/2021 10:55:13
T:32.6°C -- T2:32.6°C -- HR:28.3 17/09/2021 10:55:18
T:32.7°C -- T2:32.7°C -- HR:28.4 17/09/2021 10:55:23
T:32.7°C -- T2:32.7°C -- HR:27.9 17/09/2021 10:55:28
T:32.8°C -- T2:32.8°C -- HR:27.7 17/09/2021 10:55:33
T:32.9°C -- T2:32.9°C -- HR:27.6 17/09/2021 10:55:38
T:33.0°C -- T2:33.0°C -- HR:27.5 17/09/2021 10:55:43
T:33.0°C -- T2:33.0°C -- HR:27.7 17/09/2021 10:55:48
T:33.1°C -- T2:33.1°C -- HR:27.5 17/09/2021 10:55:53
T:33.2°C -- T2:33.2°C -- HR:27.5 17/09/2021 10:55:58
T:33.3°C -- T2:33.2°C -- HR:27.5 17/09/2021 10:56:03
T:33.3°C -- T2:33.3°C -- HR:27.2 17/09/2021 10:56:08
T:33.4°C -- T2:33.4°C -- HR:27.0 17/09/2021 10:56:13
T:33.5°C -- T2:33.4°C -- HR:27.1 17/09/2021 10:56:18
T:33.5°C -- T2:33.5°C -- HR:27.1 17/09/2021 10:56:23
T:33.6°C -- T2:33.6°C -- HR:26.7 17/09/2021 10:56:28
T:33.8°C -- T2:33.6°C -- HR:26.4 17/09/2021 10:56:33
T:33.9°C -- T2:33.7°C -- HR:26.6 17/09/2021 10:56:38
T:34.0°C -- T2:33.7°C -- HR:26.4 17/09/2021 10:56:43
T:34.1°C -- T2:33.8°C -- HR:26.5 17/09/2021 10:56:48
T:34.1°C -- T2:33.9°C -- HR:26.6 17/09/2021 10:56:53
T:34.2°C -- T2:33.9°C -- HR:26.6 17/09/2021 10:56:58
T:34.2°C -- T2:34.0°C -- HR:26.2 17/09/2021 10:57:03
T:34.3°C -- T2:34.1°C -- HR:25.9 17/09/2021 10:57:08
T:34.3°C -- T2:34.2°C -- HR:25.9 17/09/2021 10:57:13
T:34.3°C -- T2:34.3°C -- HR:25.8 17/09/2021 10:57:18
T:34.4°C -- T2:34.3°C -- HR:25.8 17/09/2021 10:57:23
T:34.4°C -- T2:34.4°C -- HR:25.6 17/09/2021 10:57:28
T:34.5°C -- T2:34.5°C -- HR:25.5 17/09/2021 10:57:33
T:34.5°C -- T2:34.5°C -- HR:25.5 17/09/2021 10:57:38
T:34.6°C -- T2:34.6°C -- HR:25.3 17/09/2021 10:57:43
T:34.7°C -- T2:34.7°C -- HR:25.4 17/09/2021 10:57:48
T:34.7°C -- T2:34.7°C -- HR:25.1 17/09/2021 10:57:53
T:34.8°C -- T2:34.8°C -- HR:25.0 17/09/2021 10:57:58
T:34.8°C -- T2:34.8°C -- HR:25.1 17/09/2021 10:58:03
T:34.9°C -- T2:34.9°C -- HR:24.9 17/09/2021 10:58:08
T:35.0°C -- T2:35.0°C -- HR:24.9 17/09/2021 10:58:13
T:35.0°C -- T2:35.0°C -- HR:24.8 17/09/2021 10:58:18
T:35.1°C -- T2:35.1°C -- HR:24.6 17/09/2021 10:58:23
T:35.2°C -- T2:35.2°C -- HR:24.6 17/09/2021 10:58:28
T:35.2°C -- T2:35.2°C -- HR:24.5 17/09/2021 10:58:33
T:35.3°C -- T2:35.3°C -- HR:24.5 17/09/2021 10:58:38
T:35.4°C -- T2:35.4°C -- HR:24.4 17/09/2021 10:58:43
T:35.4°C -- T2:35.4°C -- HR:24.2 17/09/2021 10:58:48
T:35.5°C -- T2:35.5°C -- HR:24.1 17/09/2021 10:58:53
T:35.6°C -- T2:35.6°C -- HR:24.1 17/09/2021 10:58:58
T:35.6°C -- T2:35.6°C -- HR:23.9 17/09/2021 10:59:03
T:35.7°C -- T2:35.7°C -- HR:24.0 17/09/2021 10:59:08
T:35.7°C -- T2:35.7°C -- HR:24.1 17/09/2021 10:59:13
T:35.8°C -- T2:35.8°C -- HR:24.0 17/09/2021 10:59:18
T:35.8°C -- T2:35.8°C -- HR:24.0 17/09/2021 10:59:23
T:35.9°C -- T2:35.9°C -- HR:23.6 17/09/2021 10:59:28
T:36.0°C -- T2:36.0°C -- HR:23.4 17/09/2021 10:59:33
T:36.0°C -- T2:36.0°C -- HR:23.4 17/09/2021 10:59:38
T:36.1°C -- T2:36.1°C -- HR:23.7 17/09/2021 10:59:43
T:36.2°C -- T2:36.1°C -- HR:23.5 17/09/2021 10:59:48
T:36.2°C -- T2:36.2°C -- HR:23.2 17/09/2021 10:59:53
T:36.3°C -- T2:36.3°C -- HR:23.2 17/09/2021 10:59:58
T:36.3°C -- T2:36.3°C -- HR:23.1 17/09/2021 11:00:03
T:36.4°C -- T2:36.4°C -- HR:23.0 17/09/2021 11:00:08
T:36.4°C -- T2:36.4°C -- HR:22.8 17/09/2021 11:00:13
T:36.5°C -- T2:36.5°C -- HR:23.1 17/09/2021 11:00:18
T:36.6°C -- T2:36.6°C -- HR:23.0 17/09/2021 11:00:23
T:36.6°C -- T2:36.6°C -- HR:22.7 17/09/2021 11:00:28
T:36.7°C -- T2:36.7°C -- HR:22.5 17/09/2021 11:00:33
T:36.7°C -- T2:36.7°C -- HR:22.5 17/09/2021 11:00:38
T:36.8°C -- T2:36.8°C -- HR:22.4 17/09/2021 11:00:43
T:36.8°C -- T2:36.8°C -- HR:22.2 17/09/2021 11:00:48
T:36.9°C -- T2:36.8°C -- HR:22.4 17/09/2021 11:00:53
T:36.9°C -- T2:36.9°C -- HR:22.2 17/09/2021 11:00:58
T:36.9°C -- T2:36.9°C -- HR:22.1 17/09/2021 11:01:03
T:37.0°C -- T2:37.0°C -- HR:21.8 17/09/2021 11:01:08
T:37.0°C -- T2:37.0°C -- HR:21.8 17/09/2021 11:01:13
T:37.1°C -- T2:37.1°C -- HR:21.9 17/09/2021 11:01:18
T:37.1°C -- T2:37.1°C -- HR:21.7 17/09/2021 11:01:23
T:37.2°C -- T2:37.2°C -- HR:21.8 17/09/2021 11:01:28
T:37.2°C -- T2:37.2°C -- HR:21.9 17/09/2021 11:01:33
T:37.2°C -- T2:37.2°C -- HR:21.8 17/09/2021 11:01:38
T:37.3°C -- T2:37.3°C -- HR:21.8 17/09/2021 11:01:43
T:37.3°C -- T2:37.3°C -- HR:21.7 17/09/2021 11:01:48
T:37.4°C -- T2:37.4°C -- HR:21.6 17/09/2021 11:01:53
T:37.4°C -- T2:37.4°C -- HR:21.5 17/09/2021 11:01:58
T:37.4°C -- T2:37.4°C -- HR:21.3 17/09/2021 11:02:03
T:37.5°C -- T2:37.5°C -- HR:21.3 17/09/2021 11:02:08
T:37.5°C -- T2:37.5°C -- HR:21.4 17/09/2021 11:02:13
T:37.6°C -- T2:37.6°C -- HR:21.2 17/09/2021 11:02:18
T:37.6°C -- T2:37.6°C -- HR:21.1 17/09/2021 11:02:23
T:37.7°C -- T2:37.6°C -- HR:21.4 17/09/2021 11:02:28
T:37.7°C -- T2:37.7°C -- HR:21.4 17/09/2021 11:02:33
T:37.7°C -- T2:37.7°C -- HR:21.1 17/09/2021 11:02:38
T:37.8°C -- T2:37.8°C -- HR:21.0 17/09/2021 11:02:43
T:37.8°C -- T2:37.8°C -- HR:20.8 17/09/2021 11:02:48
T:37.8°C -- T2:37.8°C -- HR:21.0 17/09/2021 11:02:53
T:37.9°C -- T2:37.9°C -- HR:21.0 17/09/2021 11:02:58
T:37.9°C -- T2:37.9°C -- HR:20.7 17/09/2021 11:03:03
T:38.0°C -- T2:38.0°C -- HR:20.9 17/09/2021 11:03:08
T:38.0°C -- T2:38.0°C -- HR:20.8 17/09/2021 11:03:13
T:38.0°C -- T2:38.0°C -- HR:20.7 17/09/2021 11:03:18
T:38.1°C -- T2:38.1°C -- HR:20.6 17/09/2021 11:03:23
T:38.1°C -- T2:38.1°C -- HR:20.4 17/09/2021 11:03:28
T:38.1°C -- T2:38.1°C -- HR:20.3 17/09/2021 11:03:33
T:38.2°C -- T2:38.1°C -- HR:20.3 17/09/2021 11:03:38
T:38.2°C -- T2:38.2°C -- HR:20.6 17/09/2021 11:03:43
T:38.2°C -- T2:38.2°C -- HR:20.6 17/09/2021 11:03:48
T:38.2°C -- T2:38.2°C -- HR:20.4 17/09/2021 11:03:53
T:38.3°C -- T2:38.3°C -- HR:20.4 17/09/2021 11:03:58
T:38.3°C -- T2:38.3°C -- HR:20.2 17/09/2021 11:04:03
T:38.4°C -- T2:38.3°C -- HR:20.3 17/09/2021 11:04:08
T:38.4°C -- T2:38.4°C -- HR:20.4 17/09/2021 11:04:13
T:38.4°C -- T2:38.4°C -- HR:20.3 17/09/2021 11:04:18
T:38.5°C -- T2:38.4°C -- HR:20.0 17/09/2021 11:04:23
T:38.5°C -- T2:38.5°C -- HR:20.0 17/09/2021 11:04:28
T:38.5°C -- T2:38.5°C -- HR:20.0 17/09/2021 11:04:33
T:38.6°C -- T2:38.5°C -- HR:19.9 17/09/2021 11:04:38
T:38.6°C -- T2:38.6°C -- HR:19.9 17/09/2021 11:04:43
T:38.6°C -- T2:38.6°C -- HR:19.8 17/09/2021 11:04:48
T:38.6°C -- T2:38.6°C -- HR:19.7 17/09/2021 11:04:53
T:38.7°C -- T2:38.6°C -- HR:19.8 17/09/2021 11:04:58
T:38.7°C -- T2:38.7°C -- HR:19.6 17/09/2021 11:05:03
T:38.7°C -- T2:38.7°C -- HR:19.7 17/09/2021 11:05:08
T:38.7°C -- T2:38.7°C -- HR:19.4 17/09/2021 11:05:13
T:38.7°C -- T2:38.7°C -- HR:19.3 17/09/2021 11:05:18
T:38.8°C -- T2:38.8°C -- HR:19.6 17/09/2021 11:05:23
T:38.8°C -- T2:38.8°C -- HR:19.8 17/09/2021 11:05:28
T:38.8°C -- T2:38.8°C -- HR:19.6 17/09/2021 11:05:33
T:38.9°C -- T2:38.9°C -- HR:19.3 17/09/2021 11:05:38
T:38.9°C -- T2:38.9°C -- HR:19.4 17/09/2021 11:05:43
T:38.9°C -- T2:38.9°C -- HR:19.4 17/09/2021 11:05:48
T:39.0°C -- T2:39.0°C -- HR:19.4 17/09/2021 11:05:53
T:39.0°C -- T2:39.0°C -- HR:19.2 17/09/2021 11:05:58
T:39.0°C -- T2:39.0°C -- HR:19.0 17/09/2021 11:06:03
T:39.0°C -- T2:39.0°C -- HR:19.0 17/09/2021 11:06:08
T:39.1°C -- T2:39.1°C -- HR:19.2 17/09/2021 11:06:13
T:39.1°C -- T2:39.1°C -- HR:19.2 17/09/2021 11:06:18
T:39.1°C -- T2:39.1°C -- HR:19.1 17/09/2021 11:06:23
T:39.1°C -- T2:39.1°C -- HR:19.0 17/09/2021 11:06:28
T:39.2°C -- T2:39.1°C -- HR:19.0 17/09/2021 11:06:33
T:39.2°C -- T2:39.2°C -- HR:18.9 17/09/2021 11:06:38
T:39.2°C -- T2:39.2°C -- HR:18.9 17/09/2021 11:06:43
T:39.2°C -- T2:39.2°C -- HR:18.9 17/09/2021 11:06:48
T:39.2°C -- T2:39.2°C -- HR:18.9 17/09/2021 11:06:53
T:39.3°C -- T2:39.2°C -- HR:18.8 17/09/2021 11:06:58
T:39.3°C -- T2:39.3°C -- HR:18.6 17/09/2021 11:07:03
T:39.3°C -- T2:39.3°C -- HR:18.8 17/09/2021 11:07:08
T:39.3°C -- T2:39.3°C -- HR:18.8 17/09/2021 11:07:13
T:39.4°C -- T2:39.3°C -- HR:18.6 17/09/2021 11:07:18
T:39.4°C -- T2:39.4°C -- HR:18.6 17/09/2021 11:07:23
T:39.4°C -- T2:39.4°C -- HR:18.8 17/09/2021 11:07:28
T:39.4°C -- T2:39.4°C -- HR:18.8 17/09/2021 11:07:33
T:39.4°C -- T2:39.4°C -- HR:18.8 17/09/2021 11:07:38
T:39.4°C -- T2:39.4°C -- HR:18.6 17/09/2021 11:07:43
T:39.5°C -- T2:39.4°C -- HR:18.6 17/09/2021 11:07:48
T:39.5°C -- T2:39.4°C -- HR:18.7 17/09/2021 11:07:53
T:39.5°C -- T2:39.5°C -- HR:18.6 17/09/2021 11:07:58
